stamp_sec,fl_fy_gt,fl_fy_est,fr_fy_gt,fr_fy_est,rl_fy_gt,rl_fy_est,rr_fy_gt,rr_fy_est,front_sum_gt,front_sum_est,rear_sum_gt,rear_sum_est,total_sum_gt,total_sum_est
1788557454.7810724,-249.57444763183594,-233.3981035198995,-261.9635925292969,-240.84179738947375,-233.9063262939453,-225.5983721253768,-245.97593688964844,-233.11970244606295,-511.5380401611328,-474.23990090937326,-479.88226318359375,-458.71807457143973,-991.4203033447266,-932.957975480813
1788557454.8140724,-245.2245330810547,-228.77448665707806,-262.9336242675781,-246.9797464202334,-233.74310302734375,-225.39340923342832,-249.31541442871094,-239.89116772556122,-508.1581573486328,-475.7542330773115,-483.0585174560547,-465.28457695898953,-991.2166748046875,-941.038810036301
1788557454.8800724,-253.85414123535156,-237.95020502078577,-266.2845458984375,-245.21266560969454,-234.97479248046875,-226.71648427870755,-246.96316528320312,-234.02407043002611,-520.1386871337891,-483.1628706304803,-481.9379577636719,-460.74055470873367,-1002.0766448974609,-943.903425339214
1788557454.9130723,-253.78262329101562,-237.51621103750898,-267.6244812011719,-247.47985622798234,-235.7530059814453,-227.46970421759576,-251.19790649414062,-241.55331745779807,-521.4071044921875,-484.9960672654913,-486.95091247558594,-469.0230216753938,-1008.3580169677734,-954.0190889408851
1788557454.9460723,-251.8740234375,-235.18549322694403,-263.793701171875,-241.6358097813501,-235.19619750976562,-226.82703911577312,-246.88601684570312,-233.48902843770813,-515.667724609375,-476.82130300829414,-482.08221435546875,-460.3160675534813,-997.7499389648438,-937.1373705617755
1788557455.0120723,-249.7508544921875,-233.2505905381951,-258.3470458984375,-233.73848069825755,-236.92767333984375,-228.6049481671298,-248.7096710205078,-235.3215232419103,-508.097900390625,-466.9890712364527,-485.63734436035156,-463.9264714090401,-993.7352447509766,-930.9155426454928
1788557455.0780723,-259.405517578125,-244.81503423922976,-271.0909118652344,-250.18098659977244,-239.07626342773438,-230.82663602270827,-250.05023193359375,-235.87219815460986,-530.4964294433594,-494.9960208390022,-489.1264953613281,-466.69883417731813,-1019.6229248046875,-961.6948550163204
1788557455.1110723,-259.6311340332031,-243.9750379317959,-272.3614501953125,-251.5044112732753,-241.7016143798828,-233.63012446223908,-251.74185180664062,-236.76254231730533,-531.9925842285156,-495.4794492050712,-493.44346618652344,-470.3926667795444,-1025.436050415039,-965.8721159846157
1788557455.2100723,-257.23406982421875,-241.23813803178632,-272.8916320800781,-254.5909267978475,-238.74185180664062,-229.56979217991832,-254.7196044921875,-244.57805272349324,-530.1257019042969,-495.8290648296338,-493.4614562988281,-474.14784490341157,-1023.587158203125,-969.9769097330454
1788557455.2760723,-260.0089416503906,-244.2353592096341,-273.9648742675781,-253.83511208688577,-236.03717041015625,-227.630812615681,-249.18067932128906,-236.96748023032018,-533.9738159179688,-498.0704712965199,-485.2178497314453,-464.5982928460012,-1019.1916656494141,-962.668764142521
1788557455.3090725,-259.37567138671875,-243.529729466812,-272.3917236328125,-251.36695319528226,-237.6876220703125,-229.74355811467558,-250.2591552734375,-237.78143076490116,-531.7673950195312,-494.89668266209424,-487.94677734375,-467.52498887957677,-1019.7141723632812,-962.421671541671
1788557455.3420725,-259.9615173339844,-244.76061985903448,-270.7769470214844,-248.36715551766272,-238.89305114746094,-231.27338959265958,-251.29556274414062,-238.85033439880712,-530.7384643554688,-493.1277753766972,-490.18861389160156,-470.1237239914667,-1020.9270782470703,-963.2514993681639
1788557455.4080725,-254.89920043945312,-238.64356391689375,-267.9512939453125,-246.84818764045497,-240.9539794921875,-232.60630067154503,-253.9149932861328,-241.18677967050004,-522.8504943847656,-485.4917515573487,-494.8689727783203,-473.7930803420451,-1017.7194671630859,-959.2848318993938
1788557455.4740725,-257.6285095214844,-241.57976799296782,-270.98602294921875,-250.2157538994916,-242.5811309814453,-234.3451779211196,-255.74288940429688,-243.2384229571708,-528.6145324707031,-491.7955218924594,-498.3240203857422,-477.58360087829044,-1026.9385528564453,-969.3791227707499
1788557455.5070724,-257.9881286621094,-241.96494850833759,-270.93658447265625,-249.80092377594917,-242.5042724609375,-234.25810585633857,-255.18966674804688,-242.22427607316786,-528.9247131347656,-491.76587228428673,-497.6939392089844,-476.48238192950646,-1026.61865234375,-968.2482542137932
1788557455.5400724,-262.120361328125,-246.44911270915642,-277.6404724121094,-258.88635148496405,-242.15106201171875,-233.87542407839553,-256.2056884765625,-244.58292507848563,-539.7608337402344,-505.3354641941205,-498.35675048828125,-478.4583491568811,-1038.1175842285156,-983.7938133510016
1788557455.6060724,-258.1822509765625,-242.15495313556704,-270.92315673828125,-249.54053142568876,-242.6998291015625,-234.46699683907013,-255.23728942871094,-242.08344652446254,-529.1054077148438,-491.6954845612558,-497.93711853027344,-476.5504433635327,-1027.0425262451172,-968.2459279247885
1788557455.6720724,-257.98883056640625,-241.9662185396821,-271.971923828125,-251.7024914228613,-241.9118194580078,-233.51653183532213,-255.59481811523438,-243.42426392496822,-529.9607543945312,-493.6687099625434,-497.5066375732422,-476.94079576029037,-1027.4673919677734,-970.6095057228338
1788557455.7380724,-262.820068359375,-243.79995747027806,-276.3885803222656,-252.69025764286604,-243.44741821289062,-236.15260669239478,-256.98944091796875,-245.60863397403742,-539.2086486816406,-496.49021511314413,-500.4368591308594,-481.7612406664322,-1039.6455078125,-978.2514557795763
1788557455.8040724,-258.6352844238281,-243.34675730446776,-271.90106201171875,-251.5197140256205,-240.41676330566406,-232.01172930628812,-253.1851348876953,-240.12044235091756,-530.5363464355469,-494.86647133008825,-493.6018981933594,-472.1321716572057,-1024.1382446289062,-966.9986429872939
1788557455.8700724,-260.1258239746094,-244.28062963205437,-273.54962158203125,-252.7597431710232,-242.76153564453125,-234.53485203674296,-256.739501953125,-244.8920618709054,-533.6754455566406,-497.04037280307756,-499.50103759765625,-479.4269139076483,-1033.1764831542969,-976.4672867107258
1788557455.9360723,-266.39923095703125,-250.18806747474645,-280.0359191894531,-258.68144906355457,-242.33609008789062,-234.05765678862704,-253.7353515625,-239.4078018527124,-546.4351501464844,-508.869516538301,-496.0714416503906,-473.4654586413394,-1042.506591796875,-982.3349751796404
1788557456.0020723,-263.0010986328125,-247.40817998290268,-277.7298583984375,-258.12375760319037,-244.00222778320312,-235.55593369626092,-258.3140869140625,-246.4485063791118,-540.73095703125,-505.531937586093,-502.3163146972656,-482.0044400753727,-1043.0472717285156,-987.5363776614657
1788557456.0680723,-264.17926025390625,-246.9406568926869,-280.34429931640625,-260.46435067623713,-247.51417541503906,-239.68554536371389,-263.0582580566406,-252.82973156090705,-544.5235595703125,-507.405007568924,-510.5724334716797,-492.51527692462093,-1055.0959930419922,-999.920284493545
1788557456.1340723,-273.1043701171875,-259.4623031366972,-287.4071960449219,-268.6185684589184,-244.6065673828125,-236.56881967292347,-258.991943359375,-247.53298289157325,-560.5115661621094,-528.0808715956156,-503.5985107421875,-484.1018025644967,-1064.1100769042969,-1012.1826741601124
1788557456.2000723,-263.635498046875,-249.01728863019898,-275.5782775878906,-254.3968324916631,-248.1650390625,-240.49118495145288,-259.8770446777344,-246.06901896174836,-539.2137756347656,-503.4141211218621,-508.0420837402344,-486.56020391320124,-1047.255859375,-989.9743250350633
1788557456.2330723,-289.490966796875,-276.40729826417794,-314.1664123535156,-307.5674006601517,-259.9546813964844,-249.15737901969328,-284.669189453125,-279.5696572275632,-603.6573791503906,-583.9746989243297,-544.6238708496094,-528.7270362472565,-1148.28125,-1112.7017351715863
1788557456.2660723,-272.7309875488281,-258.25746907947934,-291.7796325683594,-277.0669497151941,-248.61990356445312,-239.00785501351893,-266.151611328125,-256.1485608909787,-564.5106201171875,-535.3244187946734,-514.7715148925781,-495.15641590449763,-1079.2821350097656,-1030.480834699171
1788557456.3320723,-278.1063232421875,-264.3912297804356,-295.3274841308594,-279.21511662497454,-245.3837432861328,-238.02248937808307,-258.8226623535156,-247.1704718920668,-573.4338073730469,-543.6063464054101,-504.20640563964844,-485.19296127014985,-1077.6402130126953,-1028.79930767556
1788557456.3980725,-266.028076171875,-251.3156979435988,-278.62518310546875,-257.97205710922253,-252.06808471679688,-246.6067588016451,-264.8396301269531,-253.9143347086229,-544.6532592773438,-509.28775505282135,-516.90771484375,-500.521093510268,-1061.5609741210938,-1009.8088485630893
1788557456.4310725,-269.1169128417969,-254.82697843080345,-281.8492126464844,-261.4348421106426,-255.7415771484375,-252.30247279461653,-269.167724609375,-260.566210259807,-550.9661254882812,-516.261820541446,-524.9093017578125,-512.8686830544235,-1075.8754272460938,-1029.1305035958694
1788557456.4640725,-271.86407470703125,-258.01427708719785,-286.7558898925781,-268.78702554491616,-255.8826141357422,-249.68573466805822,-270.4888916015625,-260.57661729413127,-558.6199645996094,-526.801302632114,-526.3715057373047,-510.2623519621895,-1084.991470336914,-1037.0636545943034
1788557456.5300725,-285.7169494628906,-273.6708644945828,-299.77410888671875,-282.1150228597588,-259.1504211425781,-253.63558617346354,-273.0411376953125,-263.00066538684433,-585.4910583496094,-555.7858873543416,-532.1915588378906,-516.6362515603079,-1117.6826171875,-1072.4221389146496
1788557456.5960724,-285.5102844238281,-273.803936778474,-300.73492431640625,-284.4709046596728,-263.88372802734375,-259.06468270836785,-278.46282958984375,-269.4475217097622,-586.2452087402344,-558.2748414381467,-542.3465576171875,-528.5122044181301,-1128.5917663574219,-1086.7870458562768
1788557456.6290724,-268.8486633300781,-255.46319080507303,-282.08221435546875,-263.48357570075905,-265.8282470703125,-261.3940367925106,-279.7377624511719,-270.22167226019195,-550.9308776855469,-518.9467665058321,-545.5660095214844,-531.6157090527025,-1096.4968872070312,-1050.5624755585345
1788557456.6620724,-272.49005126953125,-259.59424279406073,-286.77325439453125,-269.4416711290915,-266.33380126953125,-262.08544858793096,-281.1326904296875,-272.8441964243818,-559.2633056640625,-529.0359139231523,-547.4664916992188,-534.9296450123127,-1106.7297973632812,-1063.965558935465
1788557456.7280724,-285.24334716796875,-272.20643945853374,-298.9282531738281,-280.55422049469314,-267.2506408691406,-263.4221275940593,-280.5995178222656,-271.3384245955639,-584.1716003417969,-552.7606599532269,-547.8501586914062,-534.7605521896232,-1132.0217590332031,-1087.5212121428501
1788557456.7940724,-276.094970703125,-264.22607782365947,-291.7498474121094,-276.78109898470626,-265.6409912109375,-261.27524915396987,-281.4251403808594,-274.2757007894708,-567.8448181152344,-541.0071768083658,-547.0661315917969,-535.5509499434406,-1114.9109497070312,-1076.5581267518064
1788557456.8270724,-274.7696228027344,-265.9420623883192,-287.71453857421875,-273.0683084175009,-260.72052001953125,-255.67558033736202,-273.24676513671875,-262.8564330190848,-562.4841613769531,-539.01037080582,-533.96728515625,-518.5320133564469,-1096.4514465332031,-1057.542384162267
1788557456.8600724,-270.44317626953125,-258.41955334646826,-284.6683349609375,-268.48463415327814,-260.6347351074219,-256.9820160798464,-272.0465087890625,-261.95811904748695,-555.1115112304688,-526.9041874997464,-532.6812438964844,-518.9401351273334,-1087.7927551269531,-1045.8443226270797
1788557456.9260724,-285.0604553222656,-274.8196142196277,-299.0135498046875,-283.62404655117496,-263.8973083496094,-263.6388932002649,-276.4597473144531,-270.34486123424875,-584.0740051269531,-558.4436607708026,-540.3570556640625,-533.9837544345137,-1124.4310607910156,-1092.4274152053163
1788557456.9920723,-267.4187927246094,-254.9032414238522,-280.9689636230469,-263.7914201903211,-265.3424072265625,-262.6553519404611,-280.883056640625,-274.91868144247246,-548.3877563476562,-518.6946616141734,-546.2254638671875,-537.5740333829335,-1094.6132202148438,-1056.2686949971069
1788557457.0580723,-272.6200866699219,-261.8190308013751,-286.4815673828125,-271.27703293395,-264.8800048828125,-262.39551943820925,-279.1231384277344,-272.6289704134483,-559.1016540527344,-533.0960637353251,-544.0031433105469,-535.0244898516576,-1103.1047973632812,-1068.1205535869826
