signal,unit,error_gt_minus_est
fl_fy,N,23.62735033184913
fl_fy,N,22.16235354972997
fl_fy,N,18.250189774666353
fl_fy,N,21.39900062790423
fl_fy,N,21.51469657411421
fl_fy,N,16.93076800024143
fl_fy,N,16.76433680318469
fl_fy,N,12.998022593927764
fl_fy,N,8.604282589926527
fl_fy,N,7.198610621910007
fl_fy,N,2.267315511152999
fl_fy,N,1.9624020218585505
fl_fy,N,-3.4311809161660634
fl_fy,N,-4.581968352617338
fl_fy,N,-6.9180505691745005
fl_fy,N,-9.506989898767827
fl_fy,N,-9.765135430416613
fl_fy,N,-12.02257071853763
fl_fy,N,-12.517983475321003
fl_fy,N,-15.118753097858075
fl_fy,N,-15.045065549868127
fl_fy,N,-16.865250009164725
fl_fy,N,-14.750498423469764
fl_fy,N,-17.628369435736772
fl_fy,N,-18.145399442898693
fl_fy,N,-18.281924794043277
fl_fy,N,-22.862477312318816
fl_fy,N,-22.773155654072497
fl_fy,N,-24.25127404575963
fl_fy,N,-25.31151336097048
fl_fy,N,-25.410616288194547
fl_fy,N,-26.546864659211252
fl_fy,N,-25.47756714495725
fl_fy,N,-24.233431339135166
fl_fy,N,-22.375059767274024
fl_fy,N,-24.049290898691538
fl_fy,N,-22.828415574999838
fl_fy,N,-16.231541865493057
fl_fy,N,-19.220018495219847
fl_fy,N,-17.263631638312518
fl_fy,N,-16.13518795657035
fl_fy,N,-18.024706914222463
fl_fy,N,-17.48438129030444
fl_fy,N,-17.966493198019748
fl_fy,N,-19.958837429589153
fl_fy,N,-21.70325288373857
fl_fy,N,-20.678295679299936
fl_fy,N,-22.316675316455985
fl_fy,N,-22.109647762340785
fl_fy,N,-21.843773732245552
fl_fy,N,-21.420703314637876
fl_fy,N,-21.81797965753057
fl_fy,N,-21.754008160642627
fl_fy,N,-21.70562033728396
fl_fy,N,-22.403386037930375
fl_fy,N,-22.60208304774045
fl_fy,N,-23.175688075453877
fl_fy,N,-23.91266575262344
fl_fy,N,-25.734719351324827
fl_fy,N,-26.512344515150062
fl_fy,N,-27.279277601625694
fl_fy,N,-26.93504138790965
fl_fy,N,-27.611668035786636
fl_fy,N,-25.998487163992763
fl_fy,N,-25.932564283708587
fl_fy,N,-25.714547909429143
fl_fy,N,-24.954289779657444
fl_fy,N,-24.375269811513164
fl_fy,N,-24.149923624532903
fl_fy,N,-23.727403315772932
fl_fy,N,-23.51088596589986
fl_fy,N,-23.874443550027195
fl_fy,N,-22.367105914916408
fl_fy,N,-21.147042550033603
fl_fy,N,-21.010715918834308
fl_fy,N,-19.971379336677472
fl_fy,N,-21.27068938127789
fl_fy,N,-17.707622892824475
fl_fy,N,-14.71657135991586
fl_fy,N,-16.63734328609098
fl_fy,N,-16.526381334257565
fl_fy,N,-16.64704519263057
fl_fy,N,-14.977946372123426
fl_fy,N,-20.335655701203052
fl_fy,N,-24.26059432215135
fl_fy,N,-22.006631865685733
fl_fy,N,-21.88940095557672
fl_fy,N,-22.10606509728308
fl_fy,N,-22.409875007159144
fl_fy,N,-22.35419683971773
fl_fy,N,-22.925613744578754
fl_fy,N,-23.528217195834145
fl_fy,N,-25.011681091332918
fl_fy,N,-25.926688049030844
fl_fy,N,-25.7962733866093
fl_fy,N,-26.815534037221028
fl_fy,N,-25.688651691092645
fl_fy,N,-25.934177773838314
fl_fy,N,-26.229337445833778
fl_fy,N,-25.79252832965159
fl_fy,N,-24.857978712895402
fl_fy,N,-26.9319689006378
fl_fy,N,-23.858252909141697
fl_fy,N,-23.142691858012142
fl_fy,N,-19.615130557865598
fl_fy,N,-21.555920437754992
fl_fy,N,-19.65885520101267
fl_fy,N,-20.59878602959691
fl_fy,N,-23.36582945327791
fl_fy,N,-18.031254906587947
fl_fy,N,-20.06710966629396
fl_fy,N,-19.422629669881474
fl_fy,N,-19.923292171081044
fl_fy,N,-21.309171370681838
fl_fy,N,-22.851651761294193
fl_fy,N,-23.19726989509192
fl_fy,N,-24.921940955855177
fl_fy,N,-24.63081704870072
fl_fy,N,-24.87289509928476
fl_fy,N,-29.48208043925422
fl_fy,N,-23.424230297364147
fl_fy,N,-21.91216233031173
fl_fy,N,-21.899312891359898
fl_fy,N,-24.231347887308516
fl_fy,N,-23.185459780877125
fl_fy,N,-21.007665425677203
fl_fy,N,-19.518681877228914
fl_fy,N,-20.206908656702325
fl_fy,N,-19.99047805578931
fl_fy,N,-19.020561675178357
fl_fy,N,-17.15344158679123
fl_fy,N,-16.70708938637972
fl_fy,N,-21.9857635043646
fl_fy,N,-16.167338505589143
fl_fy,N,-15.529716066551401
fl_fy,N,-16.156858548365207
fl_fy,N,-12.780782080541456
fl_fy,N,-11.730522375531464
fl_fy,N,-8.793600701917114
fl_fy,N,-9.77790998387875
fl_fy,N,-5.481002396922264
fl_fy,N,-4.035198307614181
