signal,unit,ground_truth,estimate
fl_fy,N,-249.57444763183594,-233.3981035198995
fl_fy,N,-245.2245330810547,-228.77448665707806
fl_fy,N,-253.85414123535156,-237.95020502078577
fl_fy,N,-253.78262329101562,-237.51621103750898
fl_fy,N,-251.8740234375,-235.18549322694403
fl_fy,N,-249.7508544921875,-233.2505905381951
fl_fy,N,-259.405517578125,-244.81503423922976
fl_fy,N,-259.6311340332031,-243.9750379317959
fl_fy,N,-257.23406982421875,-241.23813803178632
fl_fy,N,-260.0089416503906,-244.2353592096341
fl_fy,N,-259.37567138671875,-243.529729466812
fl_fy,N,-259.9615173339844,-244.76061985903448
fl_fy,N,-254.89920043945312,-238.64356391689375
fl_fy,N,-257.6285095214844,-241.57976799296782
fl_fy,N,-257.9881286621094,-241.96494850833759
fl_fy,N,-262.120361328125,-246.44911270915642
fl_fy,N,-258.1822509765625,-242.15495313556704
fl_fy,N,-257.98883056640625,-241.9662185396821
fl_fy,N,-262.820068359375,-243.79995747027806
fl_fy,N,-258.6352844238281,-243.34675730446776
fl_fy,N,-260.1258239746094,-244.28062963205437
fl_fy,N,-266.39923095703125,-250.18806747474645
fl_fy,N,-263.0010986328125,-247.40817998290268
fl_fy,N,-264.17926025390625,-246.9406568926869
fl_fy,N,-273.1043701171875,-259.4623031366972
fl_fy,N,-263.635498046875,-249.01728863019898
fl_fy,N,-289.490966796875,-276.40729826417794
fl_fy,N,-272.7309875488281,-258.25746907947934
fl_fy,N,-278.1063232421875,-264.3912297804356
fl_fy,N,-266.028076171875,-251.3156979435988
fl_fy,N,-269.1169128417969,-254.82697843080345
fl_fy,N,-271.86407470703125,-258.01427708719785
fl_fy,N,-285.7169494628906,-273.6708644945828
fl_fy,N,-285.5102844238281,-273.803936778474
fl_fy,N,-268.8486633300781,-255.46319080507303
fl_fy,N,-272.49005126953125,-259.59424279406073
fl_fy,N,-285.24334716796875,-272.20643945853374
fl_fy,N,-276.094970703125,-264.22607782365947
fl_fy,N,-274.7696228027344,-265.9420623883192
fl_fy,N,-270.44317626953125,-258.41955334646826
fl_fy,N,-285.0604553222656,-274.8196142196277
fl_fy,N,-267.4187927246094,-254.9032414238522
fl_fy,N,-272.6200866699219,-261.8190308013751
fl_fy,N,-289.27130126953125,-280.3493804313948
fl_fy,N,-271.38812255859375,-260.7823451465494
fl_fy,N,-277.6748352050781,-267.52944446163514
fl_fy,N,-296.9449768066406,-289.51308832229023
fl_fy,N,-285.95794677734375,-277.03205629178854
fl_fy,N,-289.17596435546875,-280.1517391133496
fl_fy,N,-297.4530029296875,-286.47728243499154
fl_fy,N,-297.7742004394531,-287.33181653951624
fl_fy,N,-293.83990478515625,-283.3511402667027
fl_fy,N,-316.8320617675781,-308.8819959100829
fl_fy,N,-303.9297180175781,-295.53229285316684
fl_fy,N,-310.2279052734375,-302.7605907050691
fl_fy,N,-320.9649353027344,-314.6538822965576
fl_fy,N,-302.1733703613281,-291.40351671705963
fl_fy,N,-310.89276123046875,-301.21116917544225
fl_fy,N,-310.7108459472656,-300.96985499415524
fl_fy,N,-306.2151184082031,-295.7923872124149
