signal,unit,t_s,ground_truth,estimate
fl_fy,N,0.000000,1.144091248512268,0.9310424479242942
fl_fy,N,0.330000,-0.7972004413604736,-0.6507197373370853
fl_fy,N,0.660000,1.3577568531036377,1.1009715916721277
fl_fy,N,0.990000,4.418713569641113,3.5765239020581583
fl_fy,N,1.320000,3.996378183364868,3.0163296313203647
fl_fy,N,1.650000,-0.8865705728530884,-0.6960035932991091
fl_fy,N,1.980000,-2.2369301319122314,-1.7945363239065182
fl_fy,N,2.145000,-4.794781684875488,-3.874041179706898
fl_fy,N,2.211000,-4.471360206604004,-3.62269901628319
fl_fy,N,2.310000,-5.864315986633301,-4.766365491009701
fl_fy,N,2.409000,-6.36262321472168,-5.195697945539095
fl_fy,N,2.508000,-6.720991134643555,-5.468278045647479
fl_fy,N,2.607000,-6.476558685302734,-5.308952858584446
fl_fy,N,2.706000,-5.370894908905029,-4.424331368607119
fl_fy,N,2.805000,-6.166983604431152,-5.104990486168155
fl_fy,N,2.937000,-6.256637096405029,-5.203925152699736
fl_fy,N,3.069000,-4.3112921714782715,-3.602027585832876
fl_fy,N,3.201000,-4.45556116104126,-3.762061197719421
fl_fy,N,3.333000,-4.425110340118408,-3.7382267663277093
fl_fy,N,3.432000,-3.7221667766571045,-3.144331744883705
fl_fy,N,3.531000,-2.170743942260742,-1.8365221751360108
fl_fy,N,3.630000,-1.6872814893722534,-1.4268532842672017
fl_fy,N,3.729000,-1.4973872900009155,-1.2700325157184686
fl_fy,N,3.828000,-0.5724285244941711,-0.483698305771704
fl_fy,N,3.927000,1.600557565689087,1.359351797234478
fl_fy,N,4.026000,3.2802388668060303,2.797582806140076
fl_fy,N,4.125000,1.5151878595352173,1.2982732374647652
fl_fy,N,4.257000,-0.8393750190734863,-0.7202453194735668
fl_fy,N,4.389000,-3.034946918487549,-2.6194358419976687
fl_fy,N,4.521000,-3.2307181358337402,-2.7928946377125237
fl_fy,N,4.653000,0.8885904550552368,0.7644751303282323
fl_fy,N,4.752000,-0.8957510590553284,-0.7760565606532609
fl_fy,N,4.851000,0.5063210129737854,0.43766284561668356
fl_fy,N,4.950000,-0.7416455745697021,-0.6417590093896275
fl_fy,N,5.049000,-1.4343996047973633,-1.2318313314406273
fl_fy,N,5.148000,-2.176623821258545,-1.8701666346506387
fl_fy,N,5.247000,-0.7114438414573669,-0.6241696570253578
fl_fy,N,5.346000,5.816568374633789,4.971384686326135
fl_fy,N,5.445000,-0.15715326368808746,-0.1350769175875751
fl_fy,N,5.577000,-3.571323871612549,-3.060009846364123
fl_fy,N,5.775000,-1.4954928159713745,-1.3019252798493217
fl_fy,N,5.907000,0.6085933446884155,0.5289802861906919
fl_fy,N,6.039000,1.5984448194503784,1.3799569958365414
fl_fy,N,6.105000,2.9053468704223633,2.4862739415783928
fl_fy,N,6.237000,9.515281677246094,8.49004019355187
fl_fy,N,6.303000,0.27136144042015076,0.2365787880514345
fl_fy,N,6.435000,3.1332597732543945,2.733291855462108
fl_fy,N,6.501000,0.9396714568138123,0.8152042741566414
fl_fy,N,6.633000,2.2009966373443604,1.9011230768223346
fl_fy,N,6.765000,1.3327624797821045,1.1472366238573952
fl_fy,N,6.897000,2.344005584716797,2.006891437536445
fl_fy,N,7.029000,3.6417806148529053,3.05473730640953
fl_fy,N,7.161000,14.102733612060547,12.456533776432966
fl_fy,N,7.260000,6.757376194000244,5.634515997183266
fl_fy,N,7.359000,3.4438796043395996,2.834999139156955
fl_fy,N,7.425000,6.162203788757324,5.077476553542819
fl_fy,N,7.557000,3.286402702331543,2.6711711803287645
fl_fy,N,7.623000,2.4585392475128174,1.9510785345466641
fl_fy,N,7.755000,-0.9006499648094177,-0.7155022569223632
fl_fy,N,7.821000,-2.0688846111297607,-1.6425200873321284
fl_fy,N,7.953000,-7.9145121574401855,-6.2911232249783025
fl_fy,N,8.019000,-10.428110122680664,-8.306390134800608
