signal,unit,error_gt_minus_est
v_y,m/s,0.049995318736314076
v_y,m/s,0.015416431558931853
v_y,m/s,0.03572264232254557
v_y,m/s,0.011377328370984152
v_y,m/s,0.027782917563378
v_y,m/s,0.04974167093893053
v_y,m/s,0.06488626625381524
v_y,m/s,0.008814714659927433
v_y,m/s,0.0024751741522263115
v_y,m/s,0.006039803074057423
v_y,m/s,-0.0021060730026086633
v_y,m/s,-0.0030312272360610067
v_y,m/s,-0.008402916423695082
v_y,m/s,-0.004430280514385314
v_y,m/s,-0.012785521128020783
v_y,m/s,-0.00770447389913409
v_y,m/s,-0.01507913779350073
v_y,m/s,-0.024208619654814384
v_y,m/s,-0.027668510510892502
v_y,m/s,-0.015297889929541883
v_y,m/s,-0.013282583717694738
v_y,m/s,-0.022058336520265592
v_y,m/s,-0.020014489404053815
v_y,m/s,-0.01862084582008991
v_y,m/s,-0.012494267813469462
v_y,m/s,-0.007568855109609113
v_y,m/s,-0.02014061713812826
v_y,m/s,-0.01957772522877177
v_y,m/s,-0.02904212726464489
v_y,m/s,-0.013790701717932452
v_y,m/s,-0.04318625539937304
v_y,m/s,-0.03136658861080488
v_y,m/s,-0.01774436408449681
v_y,m/s,-0.03449256789684879
v_y,m/s,-0.03920252348718434
v_y,m/s,-0.04978422453502884
v_y,m/s,-0.03420670292771211
v_y,m/s,-0.040911745562019486
v_y,m/s,-0.03813901340825887
v_y,m/s,-0.03715607690917211
v_y,m/s,-0.021146656628836913
v_y,m/s,-0.03730633910327741
v_y,m/s,-0.018681966524072946
v_y,m/s,-0.025255190259881488
v_y,m/s,-0.016365695644474987
v_y,m/s,-0.024094793039406426
v_y,m/s,-0.028670801129998813
v_y,m/s,-0.021468362584313894
v_y,m/s,-0.015608735487294023
v_y,m/s,-0.016769999598405694
v_y,m/s,-0.019029314265445824
v_y,m/s,-0.008006809609242882
v_y,m/s,-0.017242106957661207
v_y,m/s,-0.00677726912170129
v_y,m/s,-0.019781811908894886
v_y,m/s,-0.008632754672710324
v_y,m/s,-0.022037860651213326
v_y,m/s,-0.009808289398209158
v_y,m/s,-0.02305332427744583
