signal,unit,t_s,ground_truth,estimate
v_y,m/s,0.000000,0.01225686605613685,0.010648123781693442
v_y,m/s,0.165000,0.013961816431360852,0.006248715030126528
v_y,m/s,0.231000,0.014478334730173792,0.01208609843371478
v_y,m/s,0.363000,0.013475722349510555,0.010637467134795573
v_y,m/s,0.495000,0.01268595837311981,0.010182387837557325
v_y,m/s,0.693000,0.014723783389539946,0.00560323773511835
v_y,m/s,0.759000,0.014266748456149614,0.01288572613602543
v_y,m/s,0.924000,0.013733777523765589,0.011713453290379766
v_y,m/s,1.023000,0.014809440694679488,0.0120735895233436
v_y,m/s,1.122000,0.013704700611447684,0.011986551636366954
v_y,m/s,1.221000,0.012518563023336426,0.010459048802782315
v_y,m/s,1.320000,0.012303687891823678,0.00953424628231793
v_y,m/s,1.419000,0.014932190835559744,0.009682157108885592
v_y,m/s,1.617000,0.011007534652235584,0.00793278528243705
v_y,m/s,1.815000,0.016330874278483343,0.012415741289239907
v_y,m/s,1.947000,0.019009025811640434,0.017081118848138448
v_y,m/s,2.145000,0.022455449802906813,0.013801048895433078
v_y,m/s,2.244000,0.02507400257305825,0.02286243814185363
v_y,m/s,2.409000,0.027914614675484728,0.025126037847543883
v_y,m/s,2.541000,0.02796524982507531,0.023569793106111302
v_y,m/s,2.640000,0.02873944403615436,0.0273445872596407
v_y,m/s,2.805000,0.033157218266609334,0.03415732562724268
v_y,m/s,2.937000,0.025533428645605483,0.026572702200719858
v_y,m/s,3.036000,0.02636502138877539,0.02425642682966776
v_y,m/s,3.201000,0.02362172615565239,0.018628137516462126
v_y,m/s,3.333000,0.017177106018163357,0.010928395228420307
v_y,m/s,3.531000,0.0046377408855349245,-0.0005050130142426647
v_y,m/s,3.663000,-0.005930480528465232,-0.014618026542770923
v_y,m/s,3.795000,-0.01258472921539866,-0.023792018987184898
v_y,m/s,3.960000,-0.00877689261807646,-0.026033771583424535
v_y,m/s,4.059000,-0.005534261960814746,-0.01577391256312928
v_y,m/s,4.257000,0.0035192758860373985,-0.002519744007992836
v_y,m/s,4.389000,0.00992155218866575,0.004097518509301812
v_y,m/s,4.521000,0.015568825270367626,0.011450907456158869
v_y,m/s,4.686000,0.02055297054981331,0.01577430652326328
v_y,m/s,4.785000,0.021931657701611762,0.019407763478082714
v_y,m/s,4.917000,0.02035466073728376,0.019430977522727953
v_y,m/s,5.049000,0.017739709127641667,0.015780016384181875
v_y,m/s,5.115000,0.01615252408649237,0.015231136552098977
v_y,m/s,5.247000,0.013385328889881087,0.012656341244591468
v_y,m/s,5.313000,0.012280097835042803,0.011047110792961825
v_y,m/s,5.445000,0.005249021887009597,0.007241280141705938
v_y,m/s,5.511000,-0.0010216229338464444,-0.0020784571477945463
v_y,m/s,5.709000,-0.04281522211027067,-0.0506744628439931
v_y,m/s,5.907000,-0.08510778146083453,-0.09792242138412838
v_y,m/s,6.006000,-0.10756072633777958,-0.11801140811646993
v_y,m/s,6.105000,-0.1231097512007926,-0.14570834221353698
v_y,m/s,6.204000,-0.13178122353201438,-0.14444142741476523
v_y,m/s,6.369000,-0.13532222279646167,-0.1833583031608707
v_y,m/s,6.435000,-0.1344865076479671,-0.14832823178706048
v_y,m/s,6.600000,-0.12648163760908115,-0.13728809198205205
v_y,m/s,6.699000,-0.1171151733403697,-0.14380561889462382
v_y,m/s,6.831000,-0.09935978265316248,-0.12005172382877231
v_y,m/s,6.963000,-0.08765362032088131,-0.10860896585496363
v_y,m/s,7.161000,-0.08795839014424356,-0.10429598123984161
v_y,m/s,7.326000,-0.0971230257130955,-0.11103904825566058
