t_s,commanded_tire_friction,schedule
0.000,1.000000,constant
0.033,1.000000,constant
0.066,1.000000,constant
0.100,1.000000,constant
0.133,1.000000,constant
0.166,1.000000,constant
0.200,1.000000,constant
0.233,1.000000,constant
0.266,1.000000,constant
0.300,1.000000,constant
0.333,1.000000,constant
0.366,1.000000,constant
0.399,1.000000,constant
0.433,1.000000,constant
0.466,1.000000,constant
0.500,1.000000,constant
0.533,1.000000,constant
0.566,1.000000,constant
0.600,1.000000,constant
0.633,1.000000,constant
0.666,1.000000,constant
0.700,1.000000,constant
0.733,1.000000,constant
0.766,1.000000,constant
0.800,1.000000,constant
0.833,1.000000,constant
0.866,1.000000,constant
0.900,1.000000,constant
0.937,1.000000,constant
0.968,1.000000,constant
0.999,1.000000,constant
1.033,1.000000,constant
1.066,1.000000,constant
1.100,1.000000,constant
1.133,1.000000,constant
1.166,1.000000,constant
1.200,1.000000,constant
1.233,1.000000,constant
1.266,1.000000,constant
1.300,1.000000,constant
1.333,1.000000,constant
1.366,1.000000,constant
1.400,1.000000,constant
1.433,1.000000,constant
1.467,1.000000,constant
1.500,1.000000,constant
1.533,1.000000,constant
1.566,1.000000,constant
1.599,1.000000,constant
1.633,1.000000,constant
1.666,1.000000,constant
1.700,1.000000,constant
1.733,1.000000,constant
1.766,1.000000,constant
1.799,1.000000,constant
1.833,1.000000,constant
1.866,1.000000,constant
1.900,1.000000,constant
1.933,1.000000,constant
1.966,1.000000,constant
1.999,1.000000,constant
2.033,1.000000,constant
2.066,1.000000,constant
2.100,1.000000,constant
2.133,1.000000,constant
2.166,1.000000,constant
2.200,1.000000,constant
2.233,1.000000,constant
2.266,1.000000,constant
2.299,1.000000,constant
2.333,1.000000,constant
2.366,1.000000,constant
2.400,1.000000,constant
2.433,1.000000,constant
2.466,1.000000,constant
2.499,1.000000,constant
2.533,1.000000,constant
2.566,1.000000,constant
2.600,1.000000,constant
2.633,1.000000,constant
2.666,1.000000,constant
2.700,1.000000,constant
2.733,1.000000,constant
2.766,1.000000,constant
2.800,1.000000,constant
2.833,1.000000,constant
2.866,1.000000,constant
2.899,1.000000,constant
2.933,1.000000,constant
2.966,1.000000,constant
2.999,1.000000,constant
3.033,1.000000,constant
3.066,1.000000,constant
3.100,1.000000,constant
3.133,1.000000,constant
3.166,1.000000,constant
3.200,1.000000,constant
3.233,1.000000,constant
3.266,1.000000,constant
3.300,1.000000,constant
3.333,1.000000,constant
3.366,1.000000,constant
3.400,1.000000,constant
3.433,1.000000,constant
3.466,1.000000,constant
3.500,1.000000,constant
3.533,1.000000,constant
3.566,1.000000,constant
3.600,1.000000,constant
3.633,1.000000,constant
3.666,1.000000,constant
3.700,1.000000,constant
3.733,1.000000,constant
3.766,1.000000,constant
3.800,1.000000,constant
3.835,1.000000,constant
3.872,1.000000,constant
3.907,1.000000,constant
3.934,1.000000,constant
3.967,1.000000,constant
4.001,1.000000,constant
4.035,1.000000,constant
4.068,1.000000,constant
4.101,1.000000,constant
4.135,1.000000,constant
4.169,1.000000,constant
4.201,1.000000,constant
4.234,1.000000,constant
4.269,1.000000,constant
4.301,1.000000,constant
4.334,1.000000,constant
4.367,1.000000,constant
4.401,1.000000,constant
4.434,1.000000,constant
4.467,1.000000,constant
4.501,1.000000,constant
4.535,1.000000,constant
4.568,1.000000,constant
4.601,1.000000,constant
4.634,1.000000,constant
4.667,1.000000,constant
4.701,1.000000,constant
4.734,1.000000,constant
4.767,1.000000,constant
4.801,1.000000,constant
4.834,1.000000,constant
4.867,1.000000,constant
4.900,1.000000,constant
4.933,1.000000,constant
4.966,1.000000,constant
5.000,1.000000,constant
5.033,1.000000,constant
5.066,1.000000,constant
5.100,1.000000,constant
5.133,1.000000,constant
5.166,1.000000,constant
5.200,1.000000,constant
5.233,1.000000,constant
5.266,1.000000,constant
5.300,1.000000,constant
5.333,1.000000,constant
5.366,1.000000,constant
5.400,1.000000,constant
5.433,1.000000,constant
5.466,1.000000,constant
5.500,1.000000,constant
5.533,1.000000,constant
5.566,1.000000,constant
5.600,1.000000,constant
5.633,1.000000,constant
5.666,1.000000,constant
5.700,1.000000,constant
5.733,1.000000,constant
5.766,1.000000,constant
5.799,1.000000,constant
5.833,1.000000,constant
5.867,1.000000,constant
5.900,1.000000,constant
5.933,1.000000,constant
5.966,1.000000,constant
6.000,1.000000,constant
6.033,1.000000,constant
6.066,1.000000,constant
6.099,1.000000,constant
6.133,1.000000,constant
6.166,1.000000,constant
6.200,1.000000,constant
6.233,1.000000,constant
6.267,1.000000,constant
6.299,1.000000,constant
6.333,1.000000,constant
6.366,1.000000,constant
6.400,1.000000,constant
6.433,1.000000,constant
6.466,1.000000,constant
6.500,1.000000,constant
6.533,1.000000,constant
6.566,1.000000,constant
6.599,1.000000,constant
6.633,1.000000,constant
6.666,1.000000,constant
6.700,1.000000,constant
6.733,1.000000,constant
6.766,1.000000,constant
6.799,1.000000,constant
6.833,1.000000,constant
6.866,1.000000,constant
6.900,1.000000,constant
6.933,1.000000,constant
6.966,1.000000,constant
7.000,1.000000,constant
7.033,1.000000,constant
7.066,1.000000,constant
7.100,1.000000,constant
7.133,1.000000,constant
7.166,1.000000,constant
7.200,1.000000,constant
7.233,1.000000,constant
7.267,1.000000,constant
7.300,1.000000,constant
7.333,1.000000,constant
7.366,1.000000,constant
7.399,1.000000,constant
7.433,1.000000,constant
7.466,1.000000,constant
7.499,1.000000,constant
7.534,1.000000,constant
7.566,1.000000,constant
7.599,1.000000,constant
7.633,1.000000,constant
7.666,1.000000,constant
7.699,1.000000,constant
7.733,1.000000,constant
7.766,1.000000,constant
7.800,1.000000,constant
7.833,1.000000,constant
7.866,1.000000,constant
7.900,1.000000,constant
7.933,1.000000,constant
7.966,1.000000,constant
8.000,1.000000,constant
8.033,1.000000,constant
8.066,1.000000,constant
8.099,1.000000,constant
8.133,1.000000,constant
8.166,1.000000,constant
8.200,1.000000,constant
8.233,1.000000,constant
8.266,1.000000,constant
8.299,1.000000,constant
8.333,1.000000,constant
8.366,1.000000,constant
8.399,1.000000,constant
8.433,1.000000,constant
8.466,1.000000,constant
8.499,1.000000,constant
8.533,1.000000,constant
8.566,1.000000,constant
8.600,1.000000,constant
8.633,1.000000,constant
8.666,1.000000,constant
8.700,1.000000,constant
8.733,1.000000,constant
8.767,1.000000,constant
8.800,1.000000,constant
8.833,1.000000,constant
8.868,1.000000,constant
8.900,1.000000,constant
8.933,1.000000,constant
8.966,1.000000,constant
9.000,1.000000,constant
9.033,1.000000,constant
9.066,1.000000,constant
9.100,1.000000,constant
9.133,1.000000,constant
9.166,1.000000,constant
9.200,1.000000,constant
9.233,1.000000,constant
9.266,1.000000,constant
9.299,1.000000,constant
9.333,1.000000,constant
9.366,1.000000,constant
9.400,1.000000,constant
9.433,1.000000,constant
9.466,1.000000,constant
9.500,1.000000,constant
9.533,1.000000,constant
9.566,1.000000,constant
9.599,1.000000,constant
9.633,1.000000,constant
9.666,1.000000,constant
9.699,1.000000,constant
9.733,1.000000,constant
9.766,1.000000,constant
9.800,1.000000,constant
9.833,1.000000,constant
9.866,1.000000,constant
9.899,1.000000,constant
9.933,1.000000,constant
9.966,1.000000,constant
9.999,1.000000,constant
10.033,1.000000,constant
10.066,1.000000,constant
10.100,1.000000,constant
10.133,1.000000,constant
10.166,1.000000,constant
10.200,1.000000,constant
10.233,1.000000,constant
10.266,1.000000,constant
10.300,1.000000,constant
10.333,1.000000,constant
10.366,1.000000,constant
10.399,1.000000,constant
10.433,1.000000,constant
10.466,1.000000,constant
10.499,1.000000,constant
10.533,1.000000,constant
10.566,1.000000,constant
10.599,1.000000,constant
10.633,1.000000,constant
10.666,1.000000,constant
10.700,1.000000,constant
10.733,1.000000,constant
10.766,1.000000,constant
10.799,1.000000,constant
10.833,1.000000,constant
10.866,1.000000,constant
10.900,1.000000,constant
10.933,1.000000,constant
10.966,1.000000,constant
11.000,1.000000,constant
11.033,1.000000,constant
11.066,1.000000,constant
11.099,1.000000,constant
11.133,1.000000,constant
11.166,1.000000,constant
11.199,1.000000,constant
11.233,1.000000,constant
11.267,1.000000,constant
11.299,1.000000,constant
11.333,1.000000,constant
11.366,1.000000,constant
11.400,1.000000,constant
11.433,1.000000,constant
11.466,1.000000,constant
11.499,1.000000,constant
11.533,1.000000,constant
11.566,1.000000,constant
11.599,1.000000,constant
11.633,1.000000,constant
11.666,1.000000,constant
11.699,1.000000,constant
11.733,1.000000,constant
11.766,1.000000,constant
11.800,1.000000,constant
11.833,1.000000,constant
11.866,1.000000,constant
11.899,1.000000,constant
11.933,1.000000,constant
11.966,1.000000,constant
12.000,1.000000,constant
12.033,1.000000,constant
12.066,1.000000,constant
12.100,1.000000,constant
12.133,1.000000,constant
12.166,1.000000,constant
12.200,1.000000,constant
12.233,1.000000,constant
12.266,1.000000,constant
12.300,1.000000,constant
12.333,1.000000,constant
12.366,1.000000,constant
12.400,1.000000,constant
12.433,1.000000,constant
12.466,1.000000,constant
12.500,1.000000,constant
12.533,1.000000,constant
12.566,1.000000,constant
12.600,1.000000,constant
12.633,1.000000,constant
12.666,1.000000,constant
12.700,1.000000,constant
12.733,1.000000,constant
12.766,1.000000,constant
12.800,1.000000,constant
12.833,1.000000,constant
12.866,1.000000,constant
12.899,1.000000,constant
12.933,1.000000,constant
12.966,1.000000,constant
13.000,1.000000,constant
13.033,1.000000,constant
13.066,1.000000,constant
13.100,1.000000,constant
13.133,1.000000,constant
13.166,1.000000,constant
13.200,1.000000,constant
13.233,1.000000,constant
13.266,1.000000,constant
13.300,1.000000,constant
13.333,1.000000,constant
13.367,1.000000,constant
13.400,1.000000,constant
13.433,1.000000,constant
13.466,1.000000,constant
13.500,1.000000,constant
13.533,1.000000,constant
13.566,1.000000,constant
13.600,1.000000,constant
13.633,1.000000,constant
13.667,1.000000,constant
13.700,1.000000,constant
13.733,1.000000,constant
13.766,1.000000,constant
13.800,1.000000,constant
13.833,1.000000,constant
13.866,1.000000,constant
13.899,1.000000,constant
13.933,1.000000,constant
13.966,1.000000,constant
13.999,1.000000,constant
14.033,1.000000,constant
14.066,1.000000,constant
14.099,1.000000,constant
14.133,1.000000,constant
14.166,1.000000,constant
14.200,1.000000,constant
14.233,1.000000,constant
14.266,1.000000,constant
14.300,1.000000,constant
14.333,1.000000,constant
14.366,1.000000,constant
14.399,1.000000,constant
14.433,1.000000,constant
14.466,1.000000,constant
14.500,1.000000,constant
14.534,1.000000,constant
14.566,1.000000,constant
14.600,1.000000,constant
14.633,1.000000,constant
14.666,1.000000,constant
14.700,1.000000,constant
14.733,1.000000,constant
14.766,1.000000,constant
14.800,1.000000,constant
14.833,1.000000,constant
14.866,1.000000,constant
14.900,1.000000,constant
14.933,1.000000,constant
14.966,1.000000,constant
14.999,1.000000,constant
15.033,1.000000,constant
15.066,1.000000,constant
15.099,1.000000,constant
15.133,1.000000,constant
15.166,1.000000,constant
15.200,1.000000,constant
15.233,1.000000,constant
15.266,1.000000,constant
15.300,1.000000,constant
15.333,1.000000,constant
15.366,1.000000,constant
15.400,1.000000,constant
15.433,1.000000,constant
15.466,1.000000,constant
15.500,1.000000,constant
15.533,1.000000,constant
15.566,1.000000,constant
15.600,1.000000,constant
15.633,1.000000,constant
15.666,1.000000,constant
15.699,1.000000,constant
15.733,1.000000,constant
15.766,1.000000,constant
15.799,1.000000,constant
15.833,1.000000,constant
15.866,1.000000,constant
15.900,1.000000,constant
15.933,1.000000,constant
15.966,1.000000,constant
16.000,1.000000,constant
16.033,1.000000,constant
16.066,1.000000,constant
16.100,1.000000,constant
16.133,1.000000,constant
16.166,1.000000,constant
16.199,1.000000,constant
16.233,1.000000,constant
16.266,1.000000,constant
16.299,1.000000,constant
16.333,1.000000,constant
16.366,1.000000,constant
16.399,1.000000,constant
16.433,1.000000,constant
16.466,1.000000,constant
16.500,1.000000,constant
16.533,1.000000,constant
16.566,1.000000,constant
16.600,1.000000,constant
16.633,1.000000,constant
16.666,1.000000,constant
16.700,1.000000,constant
16.733,1.000000,constant
16.766,1.000000,constant
