stamp_sec,fl_fy_gt,fl_fy_est,fr_fy_gt,fr_fy_est,rl_fy_gt,rl_fy_est,rr_fy_gt,rr_fy_est,front_sum_gt,front_sum_est,rear_sum_gt,rear_sum_est,total_sum_gt,total_sum_est
1788707154.5524902,-5.944033622741699,-4.361018182326825,-6.2703094482421875,-4.581743737079674,-10.134078979492188,-8.54643996569888,-10.718854904174805,-9.00286629545742,-12.214343070983887,-8.9427619194065,-20.852933883666992,-17.5493062611563,-33.06727695465088,-26.4920681805628
1788707154.7174904,-6.171220302581787,-4.570487664806946,-6.51984977722168,-4.812191608584921,-10.876248359680176,-9.264077394035885,-11.499432563781738,-9.723111686167394,-12.691070079803467,-9.382679273391867,-22.375680923461914,-18.98718908020328,-35.06675100326538,-28.369868353595145
1788707154.8824904,-5.7978410720825195,-4.305487867685839,-6.134940147399902,-4.543000698934632,-11.071798324584961,-9.510694343358876,-11.748873710632324,-10.066989558970327,-11.932781219482422,-8.848488566620471,-22.820672035217285,-19.577683902329206,-34.75345325469971,-28.426172468949677
1788707155.0474904,-4.824904441833496,-3.6199872619228164,-5.100817680358887,-3.8091831600677977,-10.498224258422852,-9.111206915837032,-11.124894142150879,-9.60902519099764,-9.925722122192383,-7.429170421990614,-21.62311840057373,-18.720232106834672,-31.548840522766113,-26.149402528825284
1788707155.2124903,-4.828329086303711,-3.635385946455441,-5.106348037719727,-3.824385701956635,-11.479909896850586,-10.003895220814245,-12.161982536315918,-10.5324673610529,-9.934677124023438,-7.459771648412076,-23.641892433166504,-20.536362581867145,-33.57656955718994,-27.99613423027922
1788707155.3774903,-5.642426013946533,-4.279906992154117,-5.968092441558838,-4.502724337377824,-11.483154296875,-10.03806072513006,-12.183335304260254,-10.596806551591584,-11.610518455505371,-8.782631329531942,-23.666489601135254,-20.634867276721643,-35.277008056640625,-29.417498606253584
1788707155.5424902,-5.774838447570801,-4.403814162568844,-6.0817646980285645,-4.592596549978322,-11.726290702819824,-10.334469971735501,-12.448700904846191,-10.915099109951084,-11.856603145599365,-8.996410712547167,-24.174991607666016,-21.249569081686587,-36.03159475326538,-30.245979794233754
1788707155.7074902,-5.061469554901123,-3.8679215729178256,-5.356689929962158,-4.0683426954742465,-11.450455665588379,-10.12262675973055,-12.148015975952148,-10.671556669010632,-10.418159484863281,-7.9362642683920726,-23.598471641540527,-20.794183428741185,-34.01663112640381,-28.730447697133258
1788707155.8724904,-4.442169666290283,-3.407709993966153,-4.703340530395508,-3.58450804174003,-11.177817344665527,-9.931028006606923,-11.8601655960083,-10.466501250142148,-9.145510196685791,-6.992218035706183,-23.037982940673828,-20.39752925674907,-32.18349313735962,-27.389747292455255
1788707156.0374904,-3.1185672283172607,-2.4081767346036167,-3.3051440715789795,-2.534999098168509,-10.822118759155273,-9.656750363419683,-11.437762260437012,-10.073300620858,-6.42371129989624,-4.943175832772125,-22.259881019592285,-19.730050984277682,-28.683592319488525,-24.67322681704981
