signal,unit,t_s,ground_truth,estimate
fl_fy,N,0.000000,-5.944033622741699,-4.361018182326825
fl_fy,N,0.165000,-6.171220302581787,-4.570487664806946
fl_fy,N,0.330000,-5.7978410720825195,-4.305487867685839
fl_fy,N,0.495000,-4.824904441833496,-3.6199872619228164
fl_fy,N,0.660000,-4.828329086303711,-3.635385946455441
fl_fy,N,0.825000,-5.642426013946533,-4.279906992154117
fl_fy,N,0.990000,-5.774838447570801,-4.403814162568844
fl_fy,N,1.155000,-5.061469554901123,-3.8679215729178256
fl_fy,N,1.320000,-4.442169666290283,-3.407709993966153
fl_fy,N,1.485000,-3.1185672283172607,-2.4081767346036167
fl_fy,N,1.650000,-2.1372578144073486,-1.6468603334579612
fl_fy,N,1.815000,-0.8854482769966125,-0.6827988943003662
fl_fy,N,1.980000,-0.6750247478485107,-0.5262883001210223
fl_fy,N,2.145000,0.4464769661426544,0.34887403553118895
fl_fy,N,2.310000,2.244418144226074,1.7619630577617151
fl_fy,N,2.475000,2.7122421264648438,2.1380072325771113
fl_fy,N,2.640000,0.515632688999176,0.40348512247150614
fl_fy,N,2.805000,1.1506054401397705,0.902553882328849
fl_fy,N,2.970000,-0.7431961297988892,-0.5832026083304493
fl_fy,N,3.135000,-4.448129177093506,-3.483501313891071
fl_fy,N,3.300000,-6.273128032684326,-4.930989307420137
fl_fy,N,3.465000,-2.3171651363372803,-1.8448946022369683
fl_fy,N,3.630000,-2.441840887069702,-1.9317866375835646
fl_fy,N,3.795000,1.7347112894058228,1.3610436414039304
fl_fy,N,3.960000,6.840218544006348,5.363760808996173
fl_fy,N,4.125000,3.565916061401367,2.7899023174148017
fl_fy,N,4.290000,11.435800552368164,8.999571137565978
fl_fy,N,4.455000,8.262412071228027,6.448350387545485
fl_fy,N,4.620000,-2.7385129928588867,-2.137212926010664
fl_fy,N,4.785000,-10.459446907043457,-8.611374655684823
fl_fy,N,4.950000,-18.6842098236084,-14.273912016613322
fl_fy,N,5.115000,-17.471513748168945,-13.297134115940954
fl_fy,N,5.280000,-12.155237197875977,-9.01777560262876
fl_fy,N,5.445000,-4.574091911315918,-3.350056723435924
fl_fy,N,5.610000,3.084049940109253,2.2200335578907757
fl_fy,N,5.775000,5.060495376586914,3.63527940526015
fl_fy,N,5.940000,2.588838577270508,1.8029418046843333
fl_fy,N,6.105000,2.028831720352173,1.413982626977338
fl_fy,N,6.270000,-1.5067627429962158,-1.0309939506884913
fl_fy,N,6.435000,-5.314921855926514,-3.721222176609162
fl_fy,N,6.600000,-7.31252908706665,-5.023783422908521
fl_fy,N,6.765000,-8.055730819702148,-5.590279802924561
fl_fy,N,6.930000,-8.809170722961426,-6.184556887310845
fl_fy,N,7.095000,-9.282334327697754,-6.293585711156446
fl_fy,N,7.260000,-9.976612091064453,-6.746628986339612
fl_fy,N,7.425000,-9.125616073608398,-6.316599726575888
fl_fy,N,7.590000,-8.1060209274292,-5.675139134251478
fl_fy,N,7.755000,-3.0526492595672607,-2.168379800847993
fl_fy,N,7.920000,0.24183973670005798,0.1741718745264837
fl_fy,N,8.085000,2.9142403602600098,2.0989195977909203
fl_fy,N,8.250000,7.4631123542785645,5.470874924229626
fl_fy,N,8.316000,3.0661544799804688,2.25199621136473
fl_fy,N,8.382000,3.4734792709350586,2.585531587546006
