signal,unit,t_s,ground_truth,estimate
v_y,m/s,0.000000,0.020118766071710148,0.01651724204824801
v_y,m/s,0.165000,0.019986850085746077,0.018664481132004217
v_y,m/s,0.297000,0.019762119495831953,0.01800674480106373
v_y,m/s,0.528000,0.01860855217872448,0.015442040135773499
v_y,m/s,0.693000,0.01791015210678193,0.015139825371176686
v_y,m/s,0.825000,0.016638728006849846,0.01479870867082641
v_y,m/s,1.023000,0.011847021760489795,0.0058699429190755435
v_y,m/s,1.221000,0.016945029287516178,0.013854796166912549
v_y,m/s,1.386000,0.018571844008748783,0.013511168363841315
v_y,m/s,1.518000,0.02043884835411447,0.01692976529919392
v_y,m/s,1.716000,0.025891675698123784,0.02229805993673558
v_y,m/s,1.881000,0.031075232247628648,0.02833277397967754
v_y,m/s,2.046000,0.030312148453741194,0.026492058030532974
v_y,m/s,2.178000,0.031224944004404342,0.02904210490072832
v_y,m/s,2.343000,0.029107213084949457,0.02720373051609572
v_y,m/s,2.541000,0.01808003097539057,0.015935837909420752
v_y,m/s,2.673000,0.011285706742628854,0.008891578397574759
v_y,m/s,2.838000,-0.009830787140239217,-0.011879320737401645
v_y,m/s,3.036000,-0.007005897275593753,-0.010436002264180731
v_y,m/s,3.234000,0.011394446179854967,0.0046472954807753
v_y,m/s,3.399000,0.043120069704042585,0.042692596575369376
v_y,m/s,3.564000,0.06467718096612174,0.06529624705277946
v_y,m/s,3.729000,0.07367400362450915,0.07502616322767344
v_y,m/s,3.894000,0.06384733552862976,0.06580440346347478
v_y,m/s,4.059000,0.04082338452598577,0.04209822709474971
v_y,m/s,4.257000,0.013492441878046435,0.00866348160746758
v_y,m/s,4.389000,0.0025279748255098156,-0.0015386025779182471
v_y,m/s,4.554000,-0.0022530404776830437,-0.006276967401170538
v_y,m/s,4.752000,0.0018537459690950442,-0.0013312157777585426
v_y,m/s,4.917000,0.007293046913346757,0.004701094102255833
v_y,m/s,5.115000,0.010792738133314828,0.008857210250354925
v_y,m/s,5.280000,0.011629838384292768,0.011152527670526657
v_y,m/s,5.445000,0.012771549419436923,0.009770468423813478
v_y,m/s,5.577000,0.012664083264620984,0.011555440866747828
v_y,m/s,5.775000,0.018326071657655874,0.017705556746118477
v_y,m/s,5.940000,0.026139459588010894,0.025610102744050848
v_y,m/s,6.138000,0.031702506341645176,0.02995225286977047
v_y,m/s,6.303000,0.02812762415766734,0.027063599694307477
v_y,m/s,6.435000,0.023810237830002023,0.022425253656956707
v_y,m/s,6.567000,0.015701442403372567,0.013711308425750053
v_y,m/s,6.798000,0.003020331643881491,-0.0037120816396942428
