D_true,v_rollout_mps,mu_reach,noise,seed,D_f,D_r,n_railed,railed_f,railed_r
0.7,4.0,0.4255,0,0,0.5817,0.6164,2,C,C
0.7,4.0,0.4255,1,0,0.5438,0.5336,1,C,
0.7,4.0,0.4255,1,1,0.5571,0.5662,2,C,C
0.7,4.0,0.4255,1,2,0.5572,0.4861,2,C,C
0.7,4.0,0.4255,1,3,0.5004,0.4866,2,C,C
0.7,4.0,0.4255,1,4,0.5086,0.4796,2,C,C
0.7,6.0,0.9573,0,0,0.6974,0.6603,1,,C
0.7,6.0,0.9573,1,0,0.6968,0.6592,1,,C
0.7,6.0,0.9573,1,1,0.6977,0.66,1,,C
0.7,6.0,0.9573,1,2,0.6986,0.662,1,,C
0.7,6.0,0.9573,1,3,0.6977,0.6609,1,,C
0.7,6.0,0.9573,1,4,0.6974,0.6608,1,,C
0.7,8.0,1.7018,0,0,0.7242,0.6562,1,,C
0.7,8.0,1.7018,1,0,0.7245,0.6561,1,,C
0.7,8.0,1.7018,1,1,0.7237,0.6568,1,,C
0.7,8.0,1.7018,1,2,0.725,0.6571,1,,C
0.7,8.0,1.7018,1,3,0.7241,0.6559,1,,C
0.7,8.0,1.7018,1,4,0.7261,0.6572,1,,C
0.7,10.0,2.6591,0,0,0.7345,0.6557,0,,
0.7,10.0,2.6591,1,0,0.7374,0.6552,0,,
0.7,10.0,2.6591,1,1,0.7362,0.6561,0,,
0.7,10.0,2.6591,1,2,0.7357,0.6563,0,,
0.7,10.0,2.6591,1,3,0.7357,0.6561,0,,
0.7,10.0,2.6591,1,4,0.7358,0.6555,0,,
0.7,13.0,4.4939,0,0,0.7784,0.6577,0,,
0.7,13.0,4.4939,1,0,0.7771,0.6563,0,,
0.7,13.0,4.4939,1,1,0.7811,0.6567,0,,
0.7,13.0,4.4939,1,2,0.7801,0.6576,0,,
0.7,13.0,4.4939,1,3,0.7783,0.6568,0,,
0.7,13.0,4.4939,1,4,0.7776,0.6572,0,,
0.7,15.0,5.983,0,0,0.8271,0.6733,1,,C
0.7,15.0,5.983,1,0,0.8243,0.6743,1,,C
0.7,15.0,5.983,1,1,0.8305,0.6995,1,,E
0.7,15.0,5.983,1,2,0.8276,0.6749,1,,C
0.7,15.0,5.983,1,3,0.8304,0.6912,1,,E
0.7,15.0,5.983,1,4,0.8283,0.6721,1,,C
0.7,20.0,10.6364,0,0,1.0172,0.8112,1,,C
0.7,20.0,10.6364,1,0,1.0139,0.8239,1,,C
0.7,20.0,10.6364,1,1,1.0132,0.8114,1,,C
0.7,20.0,10.6364,1,2,1.0182,0.8117,1,,C
0.7,20.0,10.6364,1,3,1.0116,0.8255,1,,C
0.7,20.0,10.6364,1,4,1.0169,0.8207,1,,C
1.05,4.0,0.4255,0,0,0.6492,0.6937,2,C,C
1.05,4.0,0.4255,1,0,0.5905,0.566,4,C|E,C|E
1.05,4.0,0.4255,1,1,0.5973,0.5333,3,C|E,E
1.05,4.0,0.4255,1,2,0.5936,0.5074,3,C|E,E
1.05,4.0,0.4255,1,3,0.6018,0.5342,2,E,E
1.05,4.0,0.4255,1,4,0.5875,0.563,2,E,E
1.05,6.0,0.9573,0,0,1.0569,1.079,2,C,C
1.05,6.0,0.9573,1,0,1.0465,1.0408,1,C,
1.05,6.0,0.9573,1,1,1.0507,1.0649,2,C,C
1.05,6.0,0.9573,1,2,1.0537,1.0045,1,C,
1.05,6.0,0.9573,1,3,1.0599,1.0082,1,C,
1.05,6.0,0.9573,1,4,1.0665,0.9982,1,C,
1.05,8.0,1.7018,0,0,1.0498,0.9967,1,,C
