D_true,v_rollout_mps,mu_reach,D_mean,D_ci95,railed_mean,n_fits
0.7,4.0,0.4255,0.5219,0.0207,1.8,10
0.7,6.0,0.9573,0.6791,0.0121,1.0,10
0.7,8.0,1.7018,0.6907,0.0222,1.0,10
0.7,10.0,2.6591,0.696,0.0262,0.0,10
0.7,13.0,4.4939,0.7179,0.0398,0.0,10
0.7,15.0,5.983,0.7553,0.0479,1.0,10
0.7,20.0,10.6364,0.9167,0.0641,1.0,10
1.05,4.0,0.4255,0.5675,0.0202,2.8,10
1.05,6.0,0.9573,1.0394,0.0161,1.2,10
1.05,8.0,1.7018,1.0237,0.0173,0.8,10
1.05,10.0,2.6591,1.0342,0.0308,0.4,10
1.05,13.0,4.4939,1.0488,0.0444,0.0,10
1.05,15.0,5.983,1.0497,0.0474,0.0,10
1.05,20.0,10.6364,1.1365,0.0816,0.4,10
1.4,4.0,0.4255,0.5869,0.0236,3.8,10
1.4,6.0,0.9573,1.2169,0.0413,1.8,10
1.4,8.0,1.7018,1.3623,0.0181,0.0,10
1.4,10.0,2.6591,1.3687,0.0283,1.0,10
1.4,13.0,4.4939,1.3844,0.0497,0.4,10
1.4,15.0,5.983,1.3917,0.0561,0.0,10
1.4,20.0,10.6364,1.43,0.0623,0.0,10
1.8,4.0,0.4255,0.504,0.0679,7.0,10
1.8,6.0,0.9573,1.2567,0.0594,2.0,10
1.8,8.0,1.7018,1.7932,0.0276,1.2,10
1.8,10.0,2.6591,1.7528,0.0267,0.0,10
1.8,13.0,4.4939,1.7678,0.048,0.4,10
1.8,15.0,5.983,1.7803,0.061,0.0,10
1.8,20.0,10.6364,1.7977,0.0716,0.0,10
