axis,D_true,v_rollout_mps,delta_sweep_rad,mu_reach,mu_realised,noise,seed,D_f,D_r,n_railed,railed_f,railed_r
speed,0.7,4.0,0.4,0.4255,0.4244,0,0,0.5817,0.6164,2,C,C
speed,0.7,4.0,0.4,0.4255,0.4244,1,0,0.5438,0.5336,1,C,
speed,0.7,4.0,0.4,0.4255,0.4244,1,1,0.5571,0.5662,2,C,C
speed,0.7,4.0,0.4,0.4255,0.4244,1,2,0.5572,0.4861,2,C,C
speed,0.7,4.0,0.4,0.4255,0.4244,1,3,0.5004,0.4866,2,C,C
speed,0.7,4.0,0.4,0.4255,0.4244,1,4,0.5086,0.4796,2,C,C
speed,0.7,6.0,0.4,0.9573,0.6579,0,0,0.6974,0.6603,1,,C
speed,0.7,6.0,0.4,0.9573,0.6579,1,0,0.6968,0.6592,1,,C
speed,0.7,6.0,0.4,0.9573,0.6579,1,1,0.6977,0.66,1,,C
speed,0.7,6.0,0.4,0.9573,0.6579,1,2,0.6986,0.662,1,,C
speed,0.7,6.0,0.4,0.9573,0.6579,1,3,0.6977,0.6609,1,,C
speed,0.7,6.0,0.4,0.9573,0.6579,1,4,0.6974,0.6608,1,,C
speed,0.7,8.0,0.4,1.7018,0.7279,0,0,0.7242,0.6562,1,,C
speed,0.7,8.0,0.4,1.7018,0.7279,1,0,0.7245,0.6561,1,,C
speed,0.7,8.0,0.4,1.7018,0.7279,1,1,0.7237,0.6568,1,,C
speed,0.7,8.0,0.4,1.7018,0.7279,1,2,0.725,0.6571,1,,C
speed,0.7,8.0,0.4,1.7018,0.7279,1,3,0.7241,0.6559,1,,C
speed,0.7,8.0,0.4,1.7018,0.7279,1,4,0.7261,0.6572,1,,C
speed,0.7,10.0,0.4,2.6591,0.8008,0,0,0.7345,0.6557,0,,
speed,0.7,10.0,0.4,2.6591,0.8008,1,0,0.7374,0.6552,0,,
speed,0.7,10.0,0.4,2.6591,0.8008,1,1,0.7362,0.6561,0,,
speed,0.7,10.0,0.4,2.6591,0.8008,1,2,0.7357,0.6563,0,,
speed,0.7,10.0,0.4,2.6591,0.8008,1,3,0.7357,0.6561,0,,
speed,0.7,10.0,0.4,2.6591,0.8008,1,4,0.7358,0.6555,0,,
speed,0.7,13.0,0.4,4.4939,0.9137,0,0,0.7784,0.6577,0,,
speed,0.7,13.0,0.4,4.4939,0.9137,1,0,0.7771,0.6563,0,,
speed,0.7,13.0,0.4,4.4939,0.9137,1,1,0.7811,0.6567,0,,
speed,0.7,13.0,0.4,4.4939,0.9137,1,2,0.7801,0.6576,0,,
speed,0.7,13.0,0.4,4.4939,0.9137,1,3,0.7783,0.6568,0,,
speed,0.7,13.0,0.4,4.4939,0.9137,1,4,0.7776,0.6572,0,,
speed,0.7,15.0,0.4,5.983,1.0269,0,0,0.8271,0.6733,1,,C
speed,0.7,15.0,0.4,5.983,1.0269,1,0,0.8243,0.6743,1,,C
speed,0.7,15.0,0.4,5.983,1.0269,1,1,0.8305,0.6995,1,,E
speed,0.7,15.0,0.4,5.983,1.0269,1,2,0.8276,0.6749,1,,C
speed,0.7,15.0,0.4,5.983,1.0269,1,3,0.8304,0.6912,1,,E
speed,0.7,15.0,0.4,5.983,1.0269,1,4,0.8283,0.6721,1,,C
speed,0.7,20.0,0.4,10.6364,1.4008,0,0,1.0172,0.8112,1,,C
speed,0.7,20.0,0.4,10.6364,1.4008,1,0,1.0139,0.8239,1,,C
speed,0.7,20.0,0.4,10.6364,1.4008,1,1,1.0132,0.8114,1,,C
speed,0.7,20.0,0.4,10.6364,1.4008,1,2,1.0182,0.8117,1,,C
speed,0.7,20.0,0.4,10.6364,1.4008,1,3,1.0116,0.8255,1,,C
speed,0.7,20.0,0.4,10.6364,1.4008,1,4,1.0169,0.8207,1,,C
delta,0.7,15.0,0.03,0.4487,0.4442,0,0,0.8218,0.8093,2,C,C
delta,0.7,15.0,0.03,0.4487,0.4442,1,0,0.7864,0.7869,2,C,C
delta,0.7,15.0,0.03,0.4487,0.4442,1,1,0.8051,0.8,2,C,C
delta,0.7,15.0,0.03,0.4487,0.4442,1,2,0.8331,0.8186,2,C,C
delta,0.7,15.0,0.03,0.4487,0.4442,1,3,0.8135,0.8071,2,C,C
delta,0.7,15.0,0.03,0.4487,0.4442,1,4,0.7938,0.7936,2,C,C
delta,0.7,15.0,0.06,0.8974,0.7954,0,0,0.9206,0.9209,2,C,C
delta,0.7,15.0,0.06,0.8974,0.7954,1,0,0.9196,0.9205,2,C,C
delta,0.7,15.0,0.06,0.8974,0.7954,1,1,0.9197,0.9207,2,C,C
delta,0.7,15.0,0.06,0.8974,0.7954,1,2,0.9246,0.9249,2,C,C
delta,0.7,15.0,0.06,0.8974,0.7954,1,3,0.9228,0.9233,2,C,C
delta,0.7,15.0,0.06,0.8974,0.7954,1,4,0.9171,0.9184,2,C,C
delta,0.7,15.0,0.1,1.4957,0.8329,0,0,0.9562,0.9553,2,C,C
delta,0.7,15.0,0.1,1.4957,0.8329,1,0,0.9619,0.961,2,C,C
delta,0.7,15.0,0.1,1.4957,0.8329,1,1,0.9549,0.9545,2,C,C
delta,0.7,15.0,0.1,1.4957,0.8329,1,2,0.9542,0.9537,2,C,C
delta,0.7,15.0,0.1,1.4957,0.8329,1,3,0.9546,0.9545,2,C,C
delta,0.7,15.0,0.1,1.4957,0.8329,1,4,0.9575,0.9573,2,C,C
delta,0.7,15.0,0.15,2.2436,0.8808,0,0,0.9896,0.9872,2,C,C
delta,0.7,15.0,0.15,2.2436,0.8808,1,0,0.9873,0.9856,2,C,C
delta,0.7,15.0,0.15,2.2436,0.8808,1,1,0.9888,0.9855,2,C,C
delta,0.7,15.0,0.15,2.2436,0.8808,1,2,0.9844,0.9828,2,C,C
delta,0.7,15.0,0.15,2.2436,0.8808,1,3,0.9909,0.9885,2,C,C
delta,0.7,15.0,0.15,2.2436,0.8808,1,4,0.9935,0.9912,2,C,C
