# 4d574fe3-795f-49dc-b803-b1c97c2f7980
# bda94ea03de8c86221814f8bcb2989dfa385da7c
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -317.9448987; -147.7248873; -0.6333241; 0.0024735; 25.7778000; 0.0000000
1.9993774; -316.7655128; -146.1106178; -0.6287295; 0.0021283; 25.7778000; 0.0000000
3.9987547; -315.5924170; -144.4905895; -0.6249305; 0.0015348; 25.7778000; 0.0000000
5.9981321; -314.4250689; -142.8681250; -0.6227363; 0.0006593; 25.7778000; 0.0000000
7.9975094; -313.2596901; -141.2432333; -0.6217202; 0.0003608; 25.7778000; 0.0000000
9.9968868; -312.0956497; -139.6177400; -0.6213058; 0.0000417; 25.7778000; 0.0000000
11.9962642; -310.9317871; -137.9922162; -0.6215661; -0.0003023; 25.7778000; 0.0000000
13.9956415; -309.7670764; -136.3671166; -0.6221036; -0.0002322; 25.7778000; 0.0000000
15.9950189; -308.6016438; -134.7426041; -0.6224968; -0.0001638; 25.7778000; 0.0000000
17.9943962; -307.4356106; -133.1183793; -0.6227613; -0.0001007; 25.7778000; 0.0000000
19.9937736; -306.2693137; -131.4944643; -0.6228879; -0.0000259; 25.7778000; 0.0000000
21.9931510; -305.1028956; -129.8705637; -0.6228745; 0.0000295; 25.7778000; 0.0000000
23.9925283; -303.9365685; -128.2465930; -0.6227799; 0.0000651; 25.7778000; 0.0000000
25.9919057; -302.7704145; -126.6225040; -0.6226905; 0.0000238; 25.7778000; 0.0000000
27.9912831; -301.6043466; -124.9983697; -0.6226810; -0.0000105; 25.7778000; 0.0000000
29.9906604; -300.4382606; -123.3742795; -0.6227283; -0.0000369; 25.7778000; 0.0000000
31.9900378; -299.2720269; -121.7502468; -0.6228376; -0.0000725; 25.7778000; 0.0000000
33.9894151; -298.1055780; -120.1264079; -0.6230123; -0.0000962; 25.7778000; 0.0000000
35.9887925; -296.9388137; -118.5027856; -0.6232161; -0.0001076; 25.7778000; 0.0000000
37.9881699; -295.7717328; -116.8794073; -0.6233963; -0.0000723; 25.7778000; 0.0000000
39.9875472; -294.6044075; -115.2561857; -0.6235077; -0.0000415; 25.7778000; 0.0000000
41.9869246; -293.4369324; -113.6330412; -0.6235646; -0.0000155; 25.7778000; 0.0000000
43.9863019; -292.2694333; -112.0099613; -0.6235624; 0.0000178; 25.7778000; 0.0000000
45.9856793; -291.1019728; -110.3868176; -0.6235014; 0.0000349; 25.7778000; 0.0000000
47.9850567; -289.9346276; -108.7636002; -0.6234313; 0.0000352; 25.7778000; 0.0000000
49.9844340; -288.7673882; -107.1403047; -0.6233748; 0.0000212; 25.7778000; 0.0000000
51.9838114; -287.6002222; -105.5169655; -0.6233456; 0.0000089; 25.7778000; 0.0000000
53.9831887; -286.4330882; -103.8936093; -0.6233382; -0.0000016; 25.7778000; 0.0000000
55.9825661; -285.2659422; -102.2702483; -0.6233529; -0.0000131; 25.7778000; 0.0000000
57.9819435; -284.0987569; -100.6469222; -0.6233904; -0.0000244; 25.7778000; 0.0000000
59.9813208; -282.9314953; -99.0236570; -0.6234505; -0.0000356; 25.7778000; 0.0000000
61.9806982; -281.7641122; -97.4004671; -0.6235330; -0.0000469; 25.7778000; 0.0000000
63.9800756; -280.5965799; -95.7773909; -0.6236381; -0.0000582; 25.7778000; 0.0000000
65.9794529; -279.4288608; -94.1544538; -0.6237658; -0.0000695; 25.7778000; 0.0000000
67.9788303; -278.2609116; -92.5316724; -0.6239160; -0.0000808; 25.7778000; 0.0000000
69.9782076; -277.0927030; -90.9090831; -0.6240887; -0.0000920; 25.7778000; 0.0000000
71.9775850; -275.9241973; -89.2867109; -0.6242840; -0.0001033; 25.7778000; 0.0000000
73.9769624; -274.7553532; -87.6645756; -0.6245019; -0.0001146; 25.7778000; 0.0000000
75.9763397; -273.5861394; -86.0427108; -0.6247422; -0.0001259; 25.7778000; 0.0000000
77.9757171; -272.4165180; -84.4211408; -0.6250051; -0.0001371; 25.7778000; 0.0000000
79.9750944; -271.2464507; -82.7998898; -0.6252905; -0.0001484; 25.7778000; 0.0000000
81.9744718; -270.0759037; -81.1789875; -0.6255984; -0.0001597; 25.7778000; 0.0000000
83.9738492; -268.9048381; -79.5584575; -0.6259292; -0.0001711; 25.7778000; 0.0000000
85.9732265; -267.7332199; -77.9383298; -0.6262819; -0.0001817; 25.7778000; 0.0000000
87.9726039; -266.5610129; -76.3186275; -0.6266564; -0.0001939; 25.7778000; 0.0000000
89.9719812; -265.3881752; -74.6993767; -0.6270583; -0.0002080; 25.7778000; 0.0000000
91.9713586; -264.2146818; -73.0806211; -0.6274731; -0.0002068; 25.7778000; 0.0000000
93.9707360; -263.0405185; -71.4623457; -0.6278776; -0.0001900; 25.7778000; 0.0000000
95.9701133; -261.8657249; -69.8444903; -0.6282248; -0.0001573; 25.7778000; 0.0000000
97.9694907; -260.6904449; -68.2270412; -0.6285119; -0.0001300; 25.7778000; 0.0000000
99.9688681; -259.5147301; -66.6098775; -0.6287443; -0.0001020; 25.7778000; 0.0000000
101.9682454; -258.3386770; -64.9929419; -0.6289195; -0.0000732; 25.7778000; 0.0000000
103.9676228; -257.1624067; -63.3762060; -0.6290376; -0.0000449; 25.7778000; 0.0000000
105.9670001; -255.9859800; -61.7595601; -0.6290989; -0.0000162; 25.7778000; 0.0000000
107.9663775; -254.8094956; -60.1429451; -0.6291023; 0.0000128; 25.7778000; 0.0000000
